Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
75	-197.79817	64.24007	-91.24266	-262.4431	1000.0	-20.972328	5.2693877	7.9008527	-48.026047	304000	7.7486035e-09	157.90515	-0.013062576	-48.043747	4.5133715	0.018594371	0.197	5.0	334.4681866168976
76	-234.71756	32.800056	-191.67038	-282.2864	1000.0	-19.999266	5.8775783	21.98055	-40.142895	308000	-3.71933e-08	88.47748	-0.011884577	-20.686798	4.433499	0.021137282	0.26775	4.0	338.6038131713867
77	-241.47757	50.151875	-169.88182	-306.71738	1000.0	-21.109194	6.5552025	10.109001	-41.384575	312000	4.4107438e-09	153.18103	-0.014479971	-38.771355	4.482139	0.019873295	0.2295	5.0	342.59406566619873
78	-214.16379	28.696377	-165.16708	-238.22928	1000.0	-22.221205	5.229355	20.139162	-41.24892	316000	7.1525574e-10	98.7816	-0.034388077	-19.964493	4.52012	0.015445174	0.174	14.0	347.03850650787354
79	-251.85475	96.56382	-177.53842	-417.28094	1000.0	-15.521793	9.061167	24.392982	-45.495995	320000	1.0251999e-08	381.6366	-0.011973436	-181.04984	4.495516	0.021059824	0.2125	4.0	351.2792410850525
80	-223.2185	20.769867	-191.08897	-248.75232	1000.0	-17.92105	3.1071012	11.230397	-39.485123	324000	-8.940697e-09	121.69986	-0.040468406	-70.62509	4.488084	0.016563268	0.21025	17.0	356.2640745639801
81	-237.77855	13.0926485	-215.22893	-247.43036	1000.0	-22.729969	5.1604247	21.382624	-41.068565	328000	-3.695488e-09	63.38175	-0.043168496	-11.821384	4.448394	0.015612698	0.21775	19.0	360.62589836120605
82	-202.64337	20.769325	-173.4268	-232.04839	1000.0	-21.17587	4.722779	13.729263	-38.450924	332000	-7.7486035e-09	97.884346	-0.021806061	-20.75161	4.4246655	0.01511483	0.20275	7.0	364.6905105113983
83	-233.1944	57.284706	-175.19547	-328.2826	1000.0	-18.602861	6.532738	22.506292	-39.99554	336000	-9.298325e-09	209.15302	-0.04074465	-77.465225	4.3573556	0.016367666	0.2095	16.0	369.12229657173157
84	-219.61151	31.893	-165.68707	-248.67941	1000.0	-21.5325	7.3821945	25.92383	-47.194347	340000	0.0	169.58359	-0.044662576	-46.629997	4.3439307	0.016338049	0.22925	18.0	373.4297971725464
85	-162.93365	18.262331	-138.33086	-189.71916	1000.0	-19.183098	2.5316627	-5.078288	-38.302643	344000	1.0371208e-08	99.76995	-0.016406285	-54.203056	4.290382	0.015175157	0.21275	5.0	377.83417105674744
86	-198.94327	73.99948	-83.12273	-275.2384	1000.0	-14.383197	7.9389343	21.085459	-42.353207	348000	-2.1457673e-08	166.26518	-0.015935821	-49.930122	4.3160863	0.017601173	0.23925	6.0	381.8937029838562
87	-200.05066	12.698618	-186.17659	-217.6381	1000.0	-17.625227	4.599844	18.671421	-38.42945	352000	-7.033348e-09	72.07583	-0.015226517	-13.000381	4.350509	0.020789748	0.29725	5.0	386.06434631347656
88	-202.70993	30.626852	-169.67557	-235.61554	1000.0	-18.559782	4.3316894	13.700689	-31.407488	356000	1.5735626e-08	80.20141	-0.014801221	-10.297279	4.3215585	0.018407218	0.2595	5.0	390.19401025772095
89	-206.69917	12.161393	-196.50847	-226.59937	1000.0	-18.669363	4.3109035	4.4728165	-34.387268	360000	2.0623206e-08	74.25505	-0.03563385	-8.717239	4.28721	0.016686723	0.19075	14.0	394.39456939697266
90	-184.78125	30.401436	-153.8711	-233.95682	1000.0	-18.53518	5.2469144	12.471183	-32.894917	364000	9.6559525e-09	102.88256	-0.016175069	-23.425652	4.2446766	0.018071968	0.23225	6.0	399.08959007263184
91	-166.68428	25.856422	-124.3475	-188.54953	1000.0	-18.749157	5.744514	17.31345	-34.01541	368000	1.180172e-08	60.97692	-0.015341995	-17.942467	4.2406383	0.021538928	0.28525	5.0	403.36100459098816
92	-176.69568	48.18493	-95.9476	-216.69057	1000.0	-15.292407	7.8745914	23.139011	-27.303772	372000	-4.4107438e-09	102.45191	-0.018038616	-20.83207	4.266127	0.014611656	0.21025	6.0	407.52753806114197
93	-213.60269	45.146156	-164.26686	-287.24445	1000.0	-17.097458	5.425722	25.79755	-38.547726	376000	1.1444092e-08	134.79747	-0.016098097	-45.955093	4.25668	0.01860051	0.269	5.0	411.7762734889984
94	-191.04123	59.49699	-100.18544	-248.26326	1000.0	-17.887917	5.273912	16.116203	-41.604263	380000	4.053116e-09	106.19094	-0.015142935	-25.275864	4.258038	0.018638331	0.23125	5.0	416.3019530773163
95	-195.50497	11.476199	-176.1915	-205.83655	1000.0	-17.005154	4.5889196	18.102716	-45.37578	384000	2.2888184e-08	49.55129	-0.013588478	-10.083523	4.249098	0.0172708	0.195	5.0	420.5961220264435
96	-206.71437	42.059944	-165.40645	-273.9728	1000.0	-17.269373	5.0066185	16.209173	-47.964947	388000	8.106232e-09	105.871735	-0.021130055	-29.041481	4.2695384	0.015526677	0.23275	7.0	424.8017315864563
97	-142.87419	38.58498	-76.815865	-173.73361	1000.0	-17.719223	3.7449374	13.125279	-41.4616	392000	-9.298325e-09	122.55764	-0.045162283	-54.024483	4.2218723	0.015988825	0.24175	21.0	429.17591857910156
98	-161.1216	13.65041	-142.61324	-178.54979	1000.0	-12.204558	9.040089	29.50025	-41.445583	396000	-4.768372e-10	97.19408	-0.013716957	-30.627045	4.1917	0.0203761	0.2345	4.0	433.3886947631836
99	-177.03757	41.63221	-124.91509	-241.3041	1000.0	-14.960719	5.7253494	19.515104	-34.71693	400000	1.4305115e-09	87.893265	-0.013327004	-17.166718	4.2238407	0.019784028	0.28025	5.0	437.3113625049591
100	-112.64534	42.259373	-40.383904	-142.89713	1000.0	-14.689828	5.0312157	18.574245	-29.859365	404000	3.8146974e-09	95.92545	-0.019856121	-36.660854	4.1366262	0.014413923	0.23525	7.0	442.0310482978821
101	-195.55515	36.398983	-142.05191	-244.11154	1000.0	-9.4822445	8.713295	34.84358	-41.369095	408000	-1.3351441e-08	276.335	-0.067584686	-156.66875	4.1799607	0.015078086	0.35175	54.0	446.8352241516113
102	-148.80833	26.382603	-117.263145	-190.21568	1000.0	-16.526337	2.4953933	2.5806627	-34.671886	412000	-7.152557e-09	58.442722	-0.016435342	-12.904903	4.109827	0.01803028	0.26175	5.0	451.1899335384369
103	-126.13978	30.996014	-80.97636	-167.2534	1000.0	-14.147161	3.8019624	12.913233	-30.961464	416000	-2.2411346e-08	87.64384	-0.048379496	-36.576466	4.1477947	0.015728962	0.25275	22.0	455.73924255371094
104	-145.74747	44.056168	-95.11614	-216.23735	1000.0	-9.811865	2.8201063	10.849212	-34.790905	420000	-2.2023917e-08	72.54505	-0.015310324	-22.564678	4.0986266	0.021417027	0.275	5.0	459.9227683544159
105	-129.1022	47.98137	-56.329144	-182.16248	1000.0	-12.233338	4.900431	12.163938	-42.64258	424000	-4.529953e-09	164.11504	-0.011761423	-35.152863	4.061198	0.020193087	0.243	4.0	464.1146845817566
106	-159.57416	23.868078	-134.66011	-197.97157	1000.0	-11.143439	2.6241117	15.467972	-35.10272	428000	-7.390976e-09	70.87849	-0.012537666	-24.802853	4.1292863	0.022791365	0.226	4.0	468.4842879772186
107	-176.91971	20.7848	-153.54076	-202.77283	1000.0	-15.106455	4.4516854	21.48448	-42.73262	432000	-7.3313715e-09	99.508446	-0.018009592	-39.977787	4.161986	0.015662625	0.25975	6.0	472.7323830127716
108	-126.64113	23.051529	-95.8517	-154.91595	1000.0	-13.390203	4.8226013	20.980307	-45.01595	436000	6.437302e-09	142.6568	-0.042861518	-37.764114	4.091142	0.0153046	0.23325	21.0	476.93248772621155
109	-126.58522	30.659473	-93.1931	-174.19128	1000.0	-12.176935	3.6370728	13.768935	-42.30751	440000	3.051758e-08	48.663082	-0.045366455	-9.145729	4.07774	0.016426016	0.25575	21.0	481.50573086738586
110	-139.98285	33.694767	-87.18768	-178.39462	1000.0	-11.876877	3.726916	20.295153	-38.707508	444000	2.6702882e-08	47.312958	-0.044120777	-12.852261	4.033844	0.015722765	0.21575	19.0	486.66300320625305
111	-112.991165	34.715473	-68.28335	-164.49268	1000.0	-12.095029	4.5740743	26.781448	-30.257046	448000	1.3351441e-08	71.37134	-0.015992334	-20.856232	4.0047965	0.016365964	0.2715	5.0	490.6775736808777
112	-93.40817	43.080116	-47.41706	-163.96269	1000.0	-11.068761	2.5951943	11.036662	-39.264633	452000	-1.1920929e-09	74.529434	-0.01792761	-35.35456	4.0104218	0.014612307	0.247	6.0	494.9627466201782
113	-128.1752	55.911724	-54.078358	-200.51334	1000.0	-8.241179	5.7270904	20.723526	-41.87056	456000	-8.5830685e-09	135.56	-0.05047108	-36.08058	4.0091815	0.01555646	0.28825	28.0	499.4271721839905
114	-96.225296	16.45328	-77.56361	-122.688835	1000.0	-11.066678	5.6001253	29.026628	-38.90434	460000	-7.629395e-09	102.2522	-0.014543686	-36.317337	3.9665415	0.021427954	0.25475	4.0	503.71285700798035
115	-103.76853	23.843658	-77.05954	-134.90192	1000.0	-6.5707335	3.5436625	9.205423	-27.879364	464000	-1.1920929e-09	42.94293	-0.014236764	-16.805038	4.00269	0.01962943	0.27075	5.0	507.8841714859009
116	-97.4052	31.597984	-61.133755	-132.7697	1000.0	-8.796094	3.4928732	9.3132	-33.94688	468000	5.9604646e-09	136.75676	-0.014838197	-54.08869	4.0251904	0.016156368	0.2605	5.0	512.2127048969269
117	-97.191216	38.71507	-32.14722	-130.74074	1000.0	-7.2314076	4.7681613	1.1409864	-38.07541	472000	1.3351441e-08	80.09356	-0.015013817	-46.06058	3.9268765	0.016952837	0.226	5.0	516.4943535327911
118	-95.42549	45.00289	-35.6078	-156.21489	1000.0	-7.644785	3.7915742	14.310082	-38.25685	476000	3.409386e-08	102.58577	-0.01837818	-33.569534	3.9679384	0.015972083	0.172	7.0	520.8283052444458
119	-71.20868	22.852768	-45.947334	-99.22312	1000.0	-8.003481	3.079392	10.260422	-32.019398	480000	-1.9788741e-08	55.663666	-0.01721924	-13.272518	3.950855	0.015996803	0.225	5.0	525.2417767047882
120	-119.19445	47.78494	-36.95079	-154.15659	1000.0	-7.060695	3.5933352	12.771098	-32.302612	484000	-4.768372e-10	97.042595	-0.04481534	-33.386612	3.9751606	0.015797647	0.267	20.0	530.092334985733
121	-100.147766	12.866147	-85.101715	-118.45388	1000.0	-10.456123	3.7128267	7.487846	-31.0749	488000	1.2993812e-08	69.210495	-0.068083175	-23.409267	3.908187	0.015225325	0.34025	49.0	534.6478321552277
