Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
49	-398.91464	486.36743	233.7451	-1055.6277	-272.64688	323.09525	-4.128096	-919.4399	701.5714	437.5	245000	152.21042	76.901405	409.68158	-163.14636	-155.0983	48.91704	2923.8139312267303
50	-126.12697	195.7307	111.71234	-548.68646	-403.66666	417.94022	-26.605936	-1377.9882	334.6	529.6	250000	147.03362	73.483765	386.77808	-224.92859	-149.84566	44.63744	2987.9592394828796
51	-125.420876	235.00504	418.5054	-516.1424	-618.74567	737.3599	281.7559	-1868.1011	448.0	778.6	255000	142.36476	69.55054	381.92264	-115.210365	-145.14088	42.664387	3055.2715406417847
52	-304.55707	526.68555	35.03755	-1671.3145	20.703457	122.38971	369.98422	-99.62355	651.0	241.2	260000	137.94653	65.55121	393.68597	-133.39214	-140.65942	38.52676	3116.1171078681946
53	-97.54245	205.24646	330.8914	-438.54562	-195.13242	567.7671	209.65672	-1858.7393	498.66666	481.0	265000	132.56151	60.863033	382.4013	-220.93239	-135.12456	34.179825	3175.894510746002
54	-119.06343	143.85773	135.32085	-397.52045	-501.57095	376.26328	12.5864	-1000.5484	509.45456	654.1	270000	126.71809	56.99267	319.37704	-157.00061	-129.17854	30.414679	3249.262804031372
55	-145.38708	325.72943	366.44812	-718.71814	-100.13735	345.35825	463.91183	-783.05316	466.8889	541.8	275000	122.00218	53.58079	438.47327	-161.47768	-124.42152	30.815935	3307.554627418518
56	-111.42543	270.87848	260.48917	-786.5889	-663.2359	717.4764	356.9238	-2225.4792	564.1111	745.2	280000	119.45132	48.99539	434.29825	-141.47365	-121.90945	28.310549	3375.046912431717
57	-459.7344	699.3656	384.59158	-1909.5763	-74.91896	161.90356	262.89038	-325.53775	827.2857	671.7	285000	119.12173	40.47237	307.84232	-131.1258	-121.58619	23.378653	3447.387427330017
58	-188.82585	109.31499	-8.973626	-344.30762	-173.78336	469.32434	570.64795	-1160.6041	737.3333	682.7	290000	117.86742	33.56439	295.98697	-128.1763	-120.214386	20.900831	3508.6929993629456
59	-285.20895	436.48584	222.20192	-1007.4406	-495.70502	492.59033	95.45937	-1527.3527	735.4286	823.8	295000	115.23308	29.01939	352.8545	-118.38866	-117.447105	18.333393	3578.453893184662
60	-173.42609	380.89816	404.31882	-1068.828	-80.99638	598.22565	719.7185	-986.1553	594.7778	814.1	300000	110.50125	25.113432	250.15877	-111.72381	-112.57463	16.193264	3651.4263446331024
61	183.46477	166.43944	470.03165	30.943302	94.34193	148.33206	443.37775	-99.48729	721.5714	647.6	305000	104.997025	21.560154	265.88696	-102.62737	-106.94219	13.850747	3719.9502918720245
62	144.44328	155.42242	400.7096	-4.0457344	20.451557	448.02045	591.01	-644.0285	720.2857	898.1	310000	100.33962	18.476894	313.63263	-99.00774	-102.23559	13.273291	3789.9375369548798
63	89.44491	575.62805	529.788	-1112.2484	127.47052	677.61755	755.30273	-1645.5433	692.0	709.1	315000	96.20858	16.278547	270.82043	-82.18058	-98.08083	12.566188	3850.101350069046
64	176.3121	395.76968	606.5291	-614.1665	395.19208	319.00772	782.63293	2.604066	720.2857	615.1	320000	93.84098	15.558001	305.5124	-106.508644	-95.72507	12.056505	3917.2957878112793
65	509.59702	124.816376	646.87366	304.19904	-14.335571	395.37207	806.9236	-494.06073	1000.0	1000.0	325000	90.74665	15.405662	267.16553	-179.60963	-92.56559	10.712541	3991.5639288425446
