Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
42	6650.811	80.205315	6723.5015	6507.971	6732.3696	1329.7025	7281.6265	2750.33	1000.0	1000.0	210000	460.3434	96.42862	572.7158	-29.02393	460.34366	96.4253	572.2128	-42.121864	460.1166	95.61394	574.0564	-25.722712	4.224372	4.562141	47.725777	-15.866289	-461.1188	4.029017	4.09899	5.6728244	1849.2787899971008
43	6753.6797	67.07197	6874.4746	6681.413	7423.7485	105.4765	7585.373	7203.607	1000.0	1000.0	215000	464.53162	96.80881	577.67194	-43.0305	464.53165	96.80835	579.27136	-44.5693	464.29446	95.99302	577.9519	-40.370377	4.2656236	4.530065	42.09343	-16.545809	-465.2978	4.0792174	4.1243095	5.7002044	1895.3195543289185
44	6750.2344	101.71645	6911.3184	6593.368	7443.4834	95.06985	7591.0537	7244.808	1000.0	1000.0	220000	468.7725	96.337776	580.11206	-36.019196	468.77295	96.33628	581.81586	-28.461994	468.51004	95.52221	581.88464	-41.931034	4.2756395	4.52846	50.63569	-13.444471	-469.51624	4.0405827	4.0743976	5.4688044	1941.81396818161
45	6163.7686	1169.0347	6948.143	3862.6484	7551.6157	136.3421	7861.497	7313.461	1000.0	1000.0	225000	471.8822	97.71184	586.5335	-89.26169	471.8822	97.7095	584.65686	-90.91868	471.62277	96.8997	582.67096	-89.888626	4.315416	4.486556	45.00439	-14.122869	-472.638	4.363587	4.4253983	5.987336	1988.2903594970703
46	5683.6455	2317.148	6957.339	1052.7106	7633.1235	97.010155	7771.3423	7503.6143	1000.0	1000.0	230000	473.8037	100.81606	586.1549	-122.67423	473.80365	100.81481	586.4061	-129.12897	473.51984	100.02047	585.25665	-132.77312	4.3124967	4.525794	56.49683	-12.624014	-474.56464	4.435069	4.580142	5.986637	2034.7260632514954
47	6831.418	130.51031	7042.9517	6690.5156	7764.5312	142.9397	7949.3984	7461.25	1000.0	1000.0	235000	476.48303	101.49574	590.68286	-102.90925	476.48343	101.49437	589.8876	-102.99318	476.19403	100.719826	592.8633	-88.53994	4.3699727	4.5639343	50.41501	-13.401442	-477.2315	4.902517	5.0042744	6.1910667	2080.8179790973663
48	7111.083	60.93474	7218.9844	7047.701	7399.379	94.91007	7627.1577	7282.7007	1000.0	1000.0	240000	479.57007	102.40292	593.1408	-132.99529	479.57025	102.39969	594.9675	-117.52082	479.26773	101.62773	591.3777	-111.34739	4.4329	4.5750036	44.62199	-14.3874445	-480.3277	5.253392	5.455807	6.624103	2126.357246398926
49	7147.521	240.38148	7481.1978	6834.3613	7687.9976	97.2065	7821.5234	7552.2285	1000.0	1000.0	245000	483.1658	101.79437	599.59576	-154.30354	483.1661	101.79194	597.6887	-137.01178	482.84802	101.00656	595.06177	-145.67345	4.528113	4.5734024	51.370396	-16.125286	-483.9076	5.163598	5.22097	6.554711	2173.0871102809906
50	7210.2007	243.71844	7510.537	6942.8867	7811.2437	113.33445	8014.575	7679.5674	1000.0	1000.0	250000	486.51938	101.99096	604.9436	-124.08673	486.5195	101.99028	604.6095	-96.737366	486.19388	101.18907	602.1931	-89.92861	4.6008925	4.6056166	46.97265	-13.329759	-487.2681	4.858684	4.9241023	6.3045435	2219.96626663208
51	7119.28	107.10717	7294.578	7000.4414	7792.3193	122.01492	7936.6445	7570.3887	1000.0	1000.0	255000	489.82068	101.52481	609.1157	-81.70466	489.82062	101.523766	610.1368	-78.14321	489.4854	100.736206	607.09033	-115.012054	4.6047244	4.586285	44.566917	-14.635341	-490.5511	4.917867	4.9807243	6.293437	2266.0887064933777
52	7176.8447	274.06323	7538.298	6727.921	8101.5576	146.19232	8292.305	7855.8623	1000.0	1000.0	260000	493.38898	101.60256	608.91626	-69.57863	493.3892	101.60098	610.2096	-58.93773	493.07697	100.80317	610.04425	-53.607418	4.6288376	4.6379833	45.61749	-13.934487	-494.1348	4.8336225	4.9129434	6.3202467	2312.027126312256
53	7323.329	119.75624	7557.1367	7217.143	7663.72	169.79999	7820.1216	7234.518	1000.0	1000.0	265000	496.97552	101.75673	617.6322	-135.04073	496.97598	101.75541	617.70917	-137.27116	496.62698	100.96787	621.0207	-110.06347	4.691047	4.586265	40.317574	-13.71954	-497.7054	5.434536	5.543714	6.7934194	2358.760313272476
54	7463.8984	209.27878	7868.0537	7281.2817	7743.0195	165.68184	8023.4336	7454.91	1000.0	1000.0	270000	500.44803	101.37072	621.3324	-134.74915	500.44812	101.36734	620.3378	-134.5522	500.0766	100.56617	621.946	-135.96773	4.745575	4.6023974	46.39289	-13.642408	-501.1747	5.500349	5.6425276	6.893754	2405.23508143425
55	7380.3936	74.70695	7462.879	7256.784	7945.0874	68.61375	8055.6904	7804.6743	1000.0	1000.0	275000	503.74252	101.63954	625.04706	-127.37316	503.74255	101.63788	626.1849	-124.09259	503.39236	100.839806	623.9818	-171.89484	4.738533	4.601296	41.42633	-12.201011	-504.4799	5.2545924	5.337414	6.734567	2451.5443308353424
56	7554.919	160.49779	7714.3516	7319.609	7989.587	148.6557	8220.995	7770.4917	1000.0	1000.0	280000	507.3273	101.71656	630.5407	-114.1956	507.3274	101.7156	629.4544	-119.75429	506.9639	100.9094	626.48553	-113.11772	4.775545	4.569563	44.96094	-11.582138	-508.0406	5.26224	5.3174376	6.6280766	2498.6717522144318
57	6497.4106	1870.1698	7636.936	2768.3806	7824.139	87.21775	7966.1777	7704.618	1000.0	1000.0	285000	510.32544	102.59015	631.6994	-82.96349	510.32544	102.58921	631.48004	-86.42276	509.9536	101.77673	632.4291	-92.30413	4.8193326	4.56718	54.39598	-16.184252	-511.0381	5.160366	5.1941433	6.6818585	2545.4936830997467
58	7466.1924	200.70152	7741.777	7118.0024	8063.2397	103.6983	8171.5645	7873.2334	1000.0	1000.0	290000	512.8782	103.91978	635.2023	-113.08171	512.8782	103.91885	634.4652	-116.432526	512.50226	103.10041	632.01587	-119.36272	4.8142195	4.5580726	42.528336	-11.568941	-513.6179	5.5332866	5.576077	6.9174857	2592.8139402866364
59	7599.358	186.86943	7912.84	7355.5605	8096.59	110.025345	8246.789	7901.751	1000.0	1000.0	295000	516.6284	104.341866	638.9316	-117.70661	516.62897	104.34031	639.5893	-123.849106	516.25287	103.54624	637.52026	-121.86351	4.8906465	4.588952	43.44356	-12.517262	-517.36316	5.6585727	5.6651635	7.0330377	2639.1968007087708
60	7774.513	73.40728	7891.3843	7688.4985	7892.823	134.86688	8116.775	7688.221	1000.0	1000.0	300000	520.1122	104.395256	642.11053	-146.38715	520.11206	104.39382	643.75964	-133.47818	519.7333	103.58749	644.0187	-116.672005	4.8973737	4.6063976	57.34412	-16.317402	-520.8513	5.4657345	5.535377	6.7049108	2686.029104948044
61	7702.8193	183.01457	7983.427	7415.273	8056.4976	115.841995	8199.285	7864.1025	1000.0	1000.0	305000	523.43524	105.195175	649.306	-108.814926	523.43494	105.196106	650.12164	-122.90004	523.07104	104.37959	645.5423	-129.88057	5.000179	4.638082	52.296967	-14.72179	-524.18695	5.576119	5.664294	7.0563674	2733.0755121707916
