Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
53	-20.755535	47.01073	30.974434	-86.96266	1000.0	5.019614	7.449286	24.563168	-27.46109	216000	-8.3446505e-10	340.0798	-0.05675203	-70.60205	0.009206806	0.0	254.0365433692932
54	-24.108507	106.61159	73.12664	-201.54993	1000.0	-4.8502374	14.050433	26.188196	-47.04782	220000	3.8146974e-09	345.14432	-0.057956193	-47.37314	0.0091329655	0.0	258.2858953475952
55	15.4887905	55.544933	94.08	-54.34831	1000.0	1.4229238	8.506584	29.304081	-33.43261	224000	-3.385544e-08	301.45694	-0.05801823	-33.248688	0.009259149	0.0	263.35091519355774
56	91.93476	34.91994	145.15436	57.638382	1000.0	3.1975765	8.694001	33.3768	-28.308563	228000	1.692772e-08	334.08725	-0.055718265	-59.633606	0.00927165	0.0	268.1484446525574
57	186.97264	40.71057	231.74586	134.43924	1000.0	9.119186	8.406959	33.14201	-24.613224	232000	3.3378602e-09	441.08417	-0.053721905	-97.07614	0.009191183	0.0	272.77540588378906
58	46.56614	65.07305	121.099686	-56.08859	1000.0	14.269868	9.631862	37.63446	-28.77744	236000	5.0783157e-08	345.43982	-0.060474258	-125.7939	0.009303206	0.0	277.5737245082855
59	32.073593	104.15992	134.34822	-142.11145	1000.0	3.049972	10.168901	26.418339	-44.190525	240000	-1.07288365e-08	331.87997	-0.054767307	-75.26553	0.009352526	0.0	282.1624188423157
60	151.21863	61.554775	247.66396	76.5103	1000.0	7.0023837	7.2448053	32.923122	-24.751244	244000	-1.8835069e-08	410.06763	-0.055316128	-106.253265	0.009148554	0.0	287.2792932987213
61	187.83775	15.322166	211.1047	169.02258	1000.0	15.684598	7.703695	36.96464	-21.60816	248000	-3.4332274e-08	226.99142	-0.055656347	-40.306885	0.009205328	0.0	291.86954402923584
62	150.37341	24.35162	183.4344	123.94543	1000.0	17.409828	9.754519	37.624413	-42.333626	252000	4.768372e-10	212.74213	-0.054908678	-46.564316	0.009166931	0.0	296.72374725341797
63	165.00256	74.521255	277.00854	67.622	1000.0	13.399554	6.2913914	32.812035	-19.372208	256000	7.2717667e-09	290.05637	-0.056108773	-28.920197	0.009372452	0.0	301.3341405391693
64	219.74884	151.11415	417.2271	31.492382	1000.0	15.15869	7.319936	35.786377	-20.020153	260000	9.059906e-09	384.3199	-0.05275044	-64.68408	0.00923596	0.0	305.57644534111023
65	154.47179	69.25937	259.2281	64.7751	1000.0	19.256945	8.930671	42.448784	-18.844614	264000	1.3232231e-08	357.4369	-0.056659453	-57.110046	0.009324	0.0	310.3571774959564
66	106.7424	81.675705	223.36754	-4.7324905	1000.0	15.081127	9.940181	41.059624	-26.61769	268000	-2.1457671e-09	272.3278	-0.054643665	-58.02881	0.00924052	0.0	315.1672246456146
67	171.4625	69.46086	243.05238	61.40735	1000.0	11.305232	6.9416065	37.282936	-16.777147	272000	-2.4318695e-08	339.36526	-0.055902433	-54.45804	0.009369418	0.0	319.3969247341156
68	207.34467	71.83046	311.69846	130.20808	1000.0	15.380297	8.083283	37.380028	-21.785376	276000	-2.2888184e-08	283.13705	-0.055405717	-52.67737	0.00924559	0.0	324.2599546909332
69	199.46048	47.281387	271.08353	153.61728	1000.0	19.52236	6.9504204	37.42595	-21.335297	280000	-1.6093255e-08	280.6418	-0.056439172	-27.496902	0.009331168	0.0	329.0503363609314
70	107.36333	70.378845	209.9782	16.58397	1000.0	17.889954	8.288004	39.340958	-18.416391	284000	2.026558e-08	492.37042	-0.054005045	-100.249176	0.009328587	0.0	333.7386522293091
71	217.47491	55.9997	309.1071	160.25049	1000.0	12.485421	8.812053	43.775204	-20.841251	288000	2.7656554e-08	399.30328	-0.05482873	-87.003235	0.009281898	0.0	338.09893798828125
72	223.64351	101.79007	386.98663	127.85297	1000.0	19.08662	9.04558	42.04599	-17.189754	292000	3.8146974e-09	339.0074	-0.060007025	-46.581238	0.009355379	0.0	342.45476961135864
73	34.013027	221.48384	249.40157	-336.82486	1000.0	10.703098	22.445127	43.01879	-48.691917	296000	9.536743e-09	361.9685	-0.05557831	-130.03845	0.009280183	0.0	347.03323769569397
74	235.86539	63.829105	325.89246	145.41132	1000.0	15.661452	8.248301	41.547115	-14.012956	300000	2.026558e-08	384.34338	-0.05644563	-86.90765	0.009334946	0.0	351.89760279655457
